parkinggeohash,avglatitude,avglongitude,city,county,state,country,iso_3166_2,avgtimetopark,avgtimetoparkratio,totalsearching,percentsearching,avguniquegeohashes,avgtotalgeohashes,circlingdistribution,hourlydistribution,percentcar,percentmpv,percentldt,percentmdt,percenthdt,percentother,updatedate,version
dpj55nh,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,6,0,4,7,"{""dpj55nh"":0.2291, ""dpj55ju"":0.0918, ""dpj55n5"":0.0967, ""dpj55nk"":0.0699, ""dpj55n7"":0.2531, ""dpj55jg"":0.2595}","{""00"": null, ""01"": 0.1667, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1667, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": 0.3333, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj55nh,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,6,0,4,7,"{""dpj55nh"":0.2291, ""dpj55ju"":0.0918, ""dpj55n5"":0.0967, ""dpj55nk"":0.0699, ""dpj55n7"":0.2531, ""dpj55jg"":0.2595}","{""00"": null, ""01"": 0.1667, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1667, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": 0.3333, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphg7yw,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,7,2,6,0,5,9,"{""dphg7yw"":0.2595, ""dphg7yq"":0.0747, ""dphg7yy"":0.0929, ""dphg7yr"":0.0351, ""dphg7ym"":0.0966, ""dphg7yt"":0.2064, ""dphg7yv"":0.1564, ""dphg7yx"":0.0784}","{""00"": 0.1667, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": 0.1667, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.1667}",0,0,0,0,0,0,2018-05-02,1
dphgr5u,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,8,0,6,11,"{""dphgr5s"":0.1336, ""dphgr5t"":0.0609, ""dphgr5v"":0.277, ""dphgr5u"":0.1405, ""dphgrhh"":0.081, ""dphgrh5"":0.113, ""dphgr5g"":0.0655, ""dphgrhj"":0.0822, ""dphgr5e"":0.0462}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1667, ""07"": null, ""08"": 0.1667, ""09"": 0.1667, ""10"": 0.1667, ""11"": 0.1667, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.1667, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgsdg,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,6,0,7,9,"{""dphgsdf"":0.0612, ""dphgsde"":0.0393, ""dphgseh"":0.0751, ""dphgsdu"":0.0363, ""dphgse5"":0.2826, ""dphgsds"":0.0604, ""dphgse4"":0.0612, ""dphgsdg"":0.3136, ""dphgsdd"":0.0703}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.2, ""13"": null, ""14"": null, ""15"": 0.2, ""16"": 0.2, ""17"": null, ""18"": 0.2, ""19"": null, ""20"": 0.2, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgvtg,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,14,0,4,6,"{""dphgvtf"":0.0984, ""dphgvtd"":0.1785, ""dphgvw4"":0.04, ""dphgvts"":0.0509, ""dphgvtg"":0.3968, ""dphgvtu"":0.1764, ""dphgvte"":0.059}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.1429, ""04"": null, ""05"": 0.1429, ""06"": 0.1429, ""07"": 0.1429, ""08"": null, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj4bzg,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,12,0,4,7,"{""dpj50b4"":0, ""dpj50b5"":0.1483, ""dpj50bh"":0.0559, ""dpj4bzs"":0.0554, ""dpj4bzu"":0.3652, ""dpj4bzf"":0.0778, ""dpj4bzg"":0.2974}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": null, ""13"": 0.1429, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.1429, ""18"": 0.1429, ""19"": 0.1429, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,1,0,2018-05-02,1
dphujjp,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,2,6,0,7,9,"{""dphujjr"":0.1992, ""dphujjp"":0.1058, ""dphujjn"":0.0512, ""dphujhy"":0.2179, ""dphujm0"":0.1069, ""dphujkb"":0.113, ""dphujhz"":0.152, ""dphujjq"":0.0541}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.2, ""10"": null, ""11"": 0.2, ""12"": 0.2, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.2, ""21"": null, ""22"": 0.2, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5391,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,8,0,4,8,"{""dpj5393"":0.0191, ""dpj5390"":0.0621, ""dpj5391"":0.4065, ""dpj5396"":0.1504, ""dpj5394"":0.1354, ""dpj5392"":0.2264}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.2, ""07"": 0.2, ""08"": 0.2, ""09"": null, ""10"": 0.2, ""11"": 0.2, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr7f,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,6,2,8,0,4,7,"{""dphgr7f"":0.2386, ""dphgr7d"":0.1319, ""dphgr7c"":0.1125, ""dphgrk1"":0.0994, ""dphgrk5"":0.0412, ""dphgr7g"":0.1441, ""dphgr7e"":0.149, ""dphgrk4"":0.0664, ""dphgr79"":0.0169}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.1667, ""09"": 0.1667, ""10"": null, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": 0.1667, ""15"": null, ""16"": 0.1667, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
