,meter,avgX,avgY
0,B,-82.99962270474315,39.951281443414956
1,C,-83.00927669777131,39.9585050888864
2,EA,-82.99767260189957,39.953614496582006
3,EC,-82.9956565505624,39.955140153477366
4,ED,-82.99796841905061,39.955598240835876
5,EE,-82.99287682072035,39.95692109152215
6,EF,-82.99453533899874,39.9573542954555
7,EG,-82.99154642045373,39.958422212495215
8,EI,-82.99208430724981,39.95974136057231
9,EJ,-82.99684737783693,39.959831521005555
10,EK,-82.99456858171898,39.960797070547535
11,EL,-82.99389454857898,39.96165590385952
12,EN,-82.99123556018536,39.96332741522713
13,EO,-82.99610645911949,39.96348812665578
14,EP,-82.99595789171892,39.96417846140631
15,EQ,-82.9931554934533,39.96529202407529
16,ER,-82.99269570484101,39.96595015333497
17,ET,-82.99232081147201,39.96733666269954
18,EU,-82.99812977449648,39.96735881932616
19,EV,-82.99963840670199,39.96788987013307
20,EX,-82.99652231957919,39.96889434331186
21,EY,-82.99341040447412,39.969505543357215
22,EZ,-82.99121405673449,39.97141700042649
23,F,-83.00590046052199,39.986132021657184
24,G,-83.04459755223361,39.986898255176754
25,K,-83.00490741661041,39.97802212847633
26,NG,-83.00512566455944,39.96716623949934
27,NH,-83.00415304656035,39.96610868740067
28,NI,-83.00353919447384,39.96732951056953
29,NJ,-83.00188246286969,39.96412188483966
30,NK,-83.0019996403287,39.969126616641105
31,NL,-83.00025279137567,39.96485615404863
32,NM,-82.99847279978609,39.96562792474893
33,NN,-82.997361580988,39.96383011215703
34,NO,-82.99718188825427,39.96853576472977
35,NP,-82.99556365359429,39.96354406096662
36,NQ,-82.99579836485078,39.96765011953664
37,NR,-82.99410474184913,39.96649990309433
38,NS,-82.99292413956836,39.968023242726794
39,NT,-82.99182485385414,39.967832995278066
40,NV,-82.98870965169358,39.965753960844815
41,NW,-82.98731479371015,39.96537092055528
42,NZ,-82.98465311558508,39.965431443521254
43,P,-83.00202716300718,39.9750852538163
44,SE,-83.00421553291103,39.95493043780787
45,SG,-83.00301092147546,39.95840489672777
46,SH,-83.002455690368,39.95784909929047
47,SI,-83.00165660035044,39.95797515083949
48,SJ,-83.00117968271617,39.96007842828357
49,SK,-82.99997385083356,39.95837142694415
50,SL,-82.99834817543285,39.95533753013233
51,SM,-82.9972652365744,39.959084726912536
52,SN,-82.997083060314,39.96223422938461
53,SO,-82.99532662381456,39.95795116441337
54,SP,-82.99514239572144,39.96179665615297
55,SQ,-82.99334899398731,39.9577633436964
56,SS,-82.99254657016192,39.96204381572309
57,SW,-82.98683240587997,39.962817799134456
58,UE,-83.00705217269834,40.000206584562896
59,UW,-83.01122933584462,39.99597590853646
60,WA,-82.99984518713485,39.95330458776731
61,WAA,-83.00323322812515,39.97151419902779
62,WBB,-83.00555266766172,39.97240804650213
63,WC,-83.0030625962151,39.95437186044431
64,WCC,-83.00416061040767,39.97280723275914
65,WD,-83.00370552369651,39.95500779056735
66,WDD,-83.00325708224166,39.97195219883525
67,WE,-83.00275262103517,39.95578778483166
68,WG,-83.00197040230067,39.95729641279941
69,WH,-83.00043122129367,39.95804591703294
70,WI,-83.00219979072776,39.958486737752075
71,WK,-83.00124386397717,39.96001709452371
72,WN,-83.00207878933112,39.962090095189225
73,WP,-83.00175865421777,39.963523764006105
74,WQ,-83.00233189730211,39.96410030080874
75,WR,-83.00694095530854,39.965034802073255
76,WT,-83.00281548292854,39.9661214387531
