Device,Trip,Time,RvDevice,NativeFlag,LocalTimeMS,PsId,RvBasicVehClass,RvRandomId,AlertLevel,EventAppId,RvZone,RvLatitude,RvLongitude,RvHeading,RvElevation,RvSpeed,RvBrakeStatus,RvYawRate,RvLongitudinalAccel,RvTurnSignal,RvEventFlags,RvRange,RvRangeRate,RvLongOffset,RvLatOffset,HvLatitude,HvLongitude,HvHeading,HvElevation,HvSpeed,HvBrakeStatus,HvYawRate,HvLongitudinalAccel,HvTurnSignal
"2,004",12,"48,150","2,494",1,"80,559,500",1,0,"1,368",2,3,6,40.259,-83.463,110.25,295.5,34.06,0,0,0.16,255,0,10.453,-2.122,-13.039,-4.905,40.259,-83.463,110.27,295.52,31.578,0,0.24,-0.084,0
"2,004",12,"48,250","2,494",1,"80,560,500",1,0,"1,368",2,3,6,40.259,-83.463,110.25,295.4,34.04,0,0,-0.02,255,0,10.674,-2.204,-10.674,-5.043,40.259,-83.463,110.43,295.42,31.611,0,0.24,0.072,0
"2,004",12,"48,350","2,494",1,"80,561,500",1,0,"1,368",2,3,6,40.259,-83.462,110.175,295.2,34.02,0,0,0.2,255,0,8.518,-1.743,-8.518,-5.196,40.258,-83.462,110.53,295.32,31.622,0,0.24,0.207,0
"2,004",12,"48,450","2,494",1,"80,562,500",1,0,"1,368",2,3,6,40.258,-83.462,110.35,295,34.02,0,0,-0.18,0,0,5.964,-0.927,-0.706,-5.366,40.258,-83.462,110.57,295.12,31.561,0,0.24,0.169,0
"2,004",54,"109,450","22,081",1,"83,779,400",1,0,0,3,2,17,40.236,-83.366,276,275,11.38,0,0,"1,000",255,255,41.219,-12.822,0,0,40.236,-83.367,4.32,267.22,6.278,0,-0.97,0.828,0
"2,004",55,"9,800","24,156",1,"86,338,800",1,0,0,3,2,16,40.236,-83.366,276,275,10.82,0,0,"1,000",255,255,7.493,-3.342,0,0,40.236,-83.366,194.19,266.22,3.942,0,18.06,0.789,2
"2,004",55,"10,650","24,161",1,"86,347,300",1,60,0,3,12,2,40.236,-83.366,276,275,7.5,0,0,"1,000",255,0,6.61,7.5,-6.61,-0.755,40.236,-83.366,274.32,267.32,6.664,0,-1.46,0.304,0
"2,004",55,"10,700","24,161",1,"86,347,800",1,60,0,3,12,2,40.236,-83.366,275,275,8.88,0,0,"1,000",255,0,7.611,8.88,-7.611,-0.726,40.236,-83.366,274.25,267.52,6.644,0,0.48,0.072,0
"2,004",55,"10,750","24,161",1,"86,348,300",1,60,0,3,12,2,40.236,-83.366,275,275,7.5,0,0,"1,000",255,0,6.958,7.5,-6.958,-0.732,40.236,-83.366,274.78,267.72,6.581,0,0.73,-0.181,0
"2,004",55,"10,800","24,161",1,"86,348,800",1,60,0,3,12,2,40.236,-83.366,276,275,7.5,0,0,"1,000",255,0,6.625,7.5,-6.625,-0.624,40.236,-83.366,275.31,267.92,6.339,1,0.73,-0.413,0
"2,004",55,"10,850","24,161",1,"86,349,300",1,60,0,3,12,2,40.236,-83.366,276,275,7.76,0,0,"1,000",255,0,6.457,7.76,-6.457,-0.655,40.236,-83.366,275.97,268.02,5.614,1,0.48,-1.364,0
